Date,Index
1/1/1991,100.00
2/1/1991,100.40
3/1/1991,100.45
4/1/1991,100.29
5/1/1991,100.34
6/1/1991,100.48
7/1/1991,100.50
8/1/1991,100.33
9/1/1991,100.59
10/1/1991,100.87
11/1/1991,101.34
12/1/1991,101.83
1/1/1992,102.20
2/1/1992,102.94
3/1/1992,102.78
4/1/1992,102.50
5/1/1992,102.54
6/1/1992,102.46
7/1/1992,102.83
8/1/1992,103.26
9/1/1992,103.66
10/1/1992,103.97
11/1/1992,104.23
12/1/1992,104.15
1/1/1993,104.21
2/1/1993,104.00
3/1/1993,104.31
4/1/1993,104.97
5/1/1993,105.19
6/1/1993,105.56
7/1/1993,105.61
8/1/1993,106.02
9/1/1993,106.40
10/1/1993,106.61
11/1/1993,106.94
12/1/1993,107.47
1/1/1994,107.75
2/1/1994,107.93
3/1/1994,108.31
4/1/1994,108.60
5/1/1994,108.98
6/1/1994,109.17
7/1/1994,109.30
8/1/1994,109.59
9/1/1994,109.64
10/1/1994,109.90
11/1/1994,110.10
12/1/1994,110.13
1/1/1995,110.44
2/1/1995,111.05
3/1/1995,110.87
4/1/1995,111.15
5/1/1995,111.30
6/1/1995,111.67
7/1/1995,112.18
8/1/1995,112.47
9/1/1995,112.71
10/1/1995,112.78
11/1/1995,112.99
12/1/1995,113.47
1/1/1996,113.89
2/1/1996,114.05
3/1/1996,114.47
4/1/1996,114.70
5/1/1996,114.96
6/1/1996,115.08
7/1/1996,115.46
8/1/1996,115.49
9/1/1996,115.77
10/1/1996,115.88
11/1/1996,116.19
12/1/1996,116.59
1/1/1997,116.72
2/1/1997,117.01
3/1/1997,117.45
4/1/1997,117.67
5/1/1997,118.13
6/1/1997,118.18
7/1/1997,118.47
8/1/1997,118.96
9/1/1997,119.11
10/1/1997,119.70
11/1/1997,120.05
12/1/1997,120.47
1/1/1998,120.93
2/1/1998,121.80
3/1/1998,122.18
4/1/1998,122.72
5/1/1998,123.22
6/1/1998,123.99
7/1/1998,124.34
8/1/1998,124.86
9/1/1998,125.66
10/1/1998,126.19
11/1/1998,127.02
12/1/1998,127.59
1/1/1999,128.29
2/1/1999,128.86
3/1/1999,129.40
4/1/1999,130.02
5/1/1999,130.80
6/1/1999,131.37
7/1/1999,132.12
8/1/1999,132.94
9/1/1999,133.33
10/1/1999,134.10
11/1/1999,134.65
12/1/1999,135.32
1/1/2000,136.89
2/1/2000,136.76
3/1/2000,137.78
4/1/2000,138.74
5/1/2000,139.29
6/1/2000,140.24
7/1/2000,140.97
8/1/2000,141.54
9/1/2000,142.38
10/1/2000,143.18
11/1/2000,144.06
12/1/2000,144.93
1/1/2001,145.86
2/1/2001,146.85
3/1/2001,147.62
4/1/2001,148.48
5/1/2001,149.10
6/1/2001,149.84
7/1/2001,150.66
8/1/2001,151.40
9/1/2001,152.22
10/1/2001,153.11
11/1/2001,153.63
12/1/2001,154.59
